step,bucket,lag,n_sequences,correlation,masked_mse
0,train,1,63,0.999982719384317,0.8935745358467102
0,train,2,61,-0.017085342597500584,0.9387387633323669
0,train,3,62,-0.004014079935592438,1.0662637948989868
0,train,4,60,-0.05749205146658377,1.0954550504684448
0,train,5,63,0.0168741708630494,1.0623105764389038
0,train,6,65,-0.011087473267626921,1.0210611820220947
0,train,7,55,-0.01860555144049436,1.0321670770645142
0,train,8,62,0.012920729956558834,1.0987409353256226
0,train,9,63,0.00455151328974733,1.0751832723617554
0,train,10,56,-0.01176274693440557,0.9906193017959595
0,train,11,70,0.002123713018110296,1.0149317979812622
0,train,12,66,-0.012887223506679906,1.0542948246002197
0,train,13,68,-0.03021227958888551,0.9800789952278137
0,train,14,69,0.010336756133595906,1.0357567071914673
0,train,16,74,-0.014373744561885162,0.97835373878479
0,train,17,73,-0.024828723652743176,1.041560173034668
0,train,18,60,-0.004544737816709745,1.0016040802001953
0,train,19,69,-0.012754864322221756,1.0157185792922974
0,train,20,58,-0.007129264325629242,1.094283103942871
0,train,21,75,-0.003506356588317328,0.9877700805664062
0,train,22,61,0.012481387681546616,0.982268214225769
0,train,23,57,0.013544385586077085,1.02397882938385
0,train,24,54,0.0036386539782630395,1.0244207382202148
0,train,25,69,-0.012122699995451899,1.0567699670791626
0,train,26,61,-0.0009788340139731551,1.070056438446045
0,train,28,58,-0.025517132225796015,1.0111900568008423
0,train,29,55,-0.006135923721760142,1.025843620300293
0,train,30,69,0.0035050747468887457,1.0174366235733032
0,train,31,72,-0.02755179594744082,1.0770087242126465
0,train,32,56,0.006599055522294936,0.9946165084838867
0,train,33,65,-0.019038735230755978,1.0431040525436401
0,train,34,64,-0.018661865131172857,1.0104063749313354
0,train,35,67,0.049649705058973155,1.0189590454101562
0,train,36,66,-0.013180761872695072,1.0763349533081055
0,train,37,70,0.0034810795809985338,1.0469074249267578
0,train,39,58,-0.013418254545984895,1.0538688898086548
0,train,40,58,0.01798755714922559,1.020888328552246
0,train,41,65,-0.020983066024498752,1.0239440202713013
0,train,42,61,0.015557725634997206,0.9831083416938782
0,train,43,74,0.0019545011815165774,1.063320279121399
0,train,44,68,-0.025716915238546408,0.9996849298477173
0,train,45,60,-0.025072579192656166,1.0472869873046875
0,train,46,61,0.03213628864569003,0.9729898571968079
0,train,47,71,0.018261947935729873,1.057081937789917
0,train,48,58,-0.03029432311532702,1.0357712507247925
0,train,49,54,-0.03969302269623097,1.0559386014938354
0,train,50,76,0.02188770007040658,1.0138832330703735
0,train,mean,3000,0.015719666307668533,1.027328610420227
0,held_interior,15,974,0.0023789890961758813,1.0226510763168335
0,held_interior,27,1061,0.001467115839544124,1.0278748273849487
0,held_interior,38,965,-0.0007762792415175193,1.0280616283416748
0,held_interior,mean,3000,0.0010232752314008288,1.0262389183044434
0,held_high,52,986,0.00043512950346077234,1.0181506872177124
0,held_high,55,1002,0.0033429100186862415,1.022132158279419
0,held_high,58,1012,0.0014775221342771985,1.0236510038375854
0,held_high,mean,3000,0.0017518538854747374,1.0213359594345093
10000,train,1,63,0.8149935229082526,0.4886625409126282
10000,train,2,61,0.8318787337894261,0.41372212767601013
10000,train,3,62,0.8901529636417831,0.37445706129074097
10000,train,4,60,0.7276000856457536,0.5946502685546875
10000,train,5,63,0.7649516283706217,0.5397459268569946
10000,train,6,65,0.775327981093393,0.5016553401947021
10000,train,7,55,0.7561473342503051,0.5341294407844543
10000,train,8,62,0.7919998110521712,0.526634931564331
10000,train,9,63,0.7731362812360724,0.5362807512283325
10000,train,10,56,0.7426784784596936,0.5360098481178284
10000,train,11,70,0.7630474490387785,0.5328602194786072
10000,train,12,66,0.7491295889775882,0.5578935146331787
10000,train,13,68,0.6985758347085301,0.5825027823448181
10000,train,14,69,0.6360275210044295,0.6812531352043152
10000,train,16,74,0.7476686236084233,0.5302305221557617
10000,train,17,73,0.7817145606236998,0.5087701678276062
10000,train,18,60,0.7051450144135376,0.582908570766449
10000,train,19,69,0.7008427677461202,0.5935479998588562
10000,train,20,58,0.7040288274352897,0.6336610913276672
10000,train,21,75,0.6992999914725915,0.5897262692451477
10000,train,22,61,0.7116624663003775,0.5679516792297363
10000,train,23,57,0.7383776758092631,0.5649347305297852
10000,train,24,54,0.7541582386480269,0.5406943559646606
10000,train,25,69,0.7309162648912282,0.585374653339386
10000,train,26,61,0.7077041257367833,0.6162911057472229
10000,train,28,58,0.5918419070545181,0.7069881558418274
10000,train,29,55,0.5962946779897552,0.7133319973945618
10000,train,30,69,0.7653625109427364,0.5182803273200989
10000,train,31,72,0.755649215484973,0.5569287538528442
10000,train,32,56,0.7811591439772214,0.4983167052268982
10000,train,33,65,0.8147843313638897,0.46866512298583984
10000,train,34,64,0.8086704209636827,0.4616946876049042
10000,train,35,67,0.7780544160263817,0.5024290680885315
10000,train,36,66,0.6848305128702208,0.6376380324363708
10000,train,37,70,0.6898958445948129,0.6233798265457153
10000,train,39,58,0.6672203714600737,0.6579195857048035
10000,train,40,58,0.6489195789389134,0.6568382382392883
10000,train,41,65,0.6624976122775902,0.6500092148780823
10000,train,42,61,0.6789585018703239,0.6024380922317505
10000,train,43,74,0.6963583585627702,0.6272108554840088
10000,train,44,68,0.720088846819834,0.5656467080116272
10000,train,45,60,0.6927192930709317,0.6257643103599548
10000,train,46,61,0.7089175124912477,0.5766493082046509
10000,train,47,71,0.7028578791638438,0.6246199607849121
10000,train,48,58,0.6851435129485122,0.6327850222587585
10000,train,49,54,0.6456791041702952,0.6837498545646667
10000,train,50,76,0.5854731358730342,0.7143255472183228
10000,train,mean,3000,0.7246498395697386,0.5746433138847351
10000,held_interior,15,974,0.7302776977234686,0.5675960183143616
10000,held_interior,27,1061,0.6268466403162678,0.6852426528930664
10000,held_interior,38,965,0.6685553013420685,0.6400988101959229
10000,held_interior,mean,3000,0.6752265464606017,0.6325254440307617
10000,held_high,52,986,0.376791479548656,0.9149229526519775
10000,held_high,55,1002,0.13078475248545876,1.14187753200531
10000,held_high,58,1012,0.04498143236507051,1.21393620967865
10000,held_high,mean,3000,0.18418588813306172,1.0915929079055786
20000,train,1,63,0.8159453587838087,0.5010727047920227
20000,train,2,61,0.8133208480078391,0.4377293586730957
20000,train,3,62,0.8862833161986983,0.3789110481739044
20000,train,4,60,0.7119917511669097,0.6188097596168518
20000,train,5,63,0.7516380653938719,0.5555861592292786
20000,train,6,65,0.775503901016,0.5000607371330261
20000,train,7,55,0.7580810260072752,0.527940034866333
20000,train,8,62,0.7778779478932852,0.5453252196311951
20000,train,9,63,0.7736139545120884,0.5336397886276245
20000,train,10,56,0.7411364601668486,0.5377548336982727
20000,train,11,70,0.7707712676187064,0.5217785239219666
20000,train,12,66,0.7718675607106704,0.5266650915145874
20000,train,13,68,0.7024037200347065,0.5774491429328918
20000,train,14,69,0.6542826926652127,0.6608173251152039
20000,train,16,74,0.7579630039327587,0.5193613171577454
20000,train,17,73,0.7750468675992248,0.5190117955207825
20000,train,18,60,0.7420161777295816,0.5399661660194397
20000,train,19,69,0.7150800702356229,0.5787814855575562
20000,train,20,58,0.7062189476088383,0.6322022080421448
20000,train,21,75,0.7088770151047789,0.5778723359107971
20000,train,22,61,0.7241019217583123,0.5518772006034851
20000,train,23,57,0.7498873873820017,0.550757646560669
20000,train,24,54,0.7548363083060604,0.5392468571662903
20000,train,25,69,0.7397992639998059,0.5757991075515747
20000,train,26,61,0.6977807974303313,0.6304822564125061
20000,train,28,58,0.5968791516881722,0.7054324746131897
20000,train,29,55,0.6450789990367575,0.6638213992118835
20000,train,30,69,0.7486514200997568,0.5452709197998047
20000,train,31,72,0.7452863801713013,0.5759888291358948
20000,train,32,56,0.7760469397258435,0.5086055397987366
20000,train,33,65,0.800463557145933,0.49042972922325134
20000,train,34,64,0.7856740643058572,0.49224263429641724
20000,train,35,67,0.7696593027903487,0.5152836441993713
20000,train,36,66,0.6837524044858692,0.6420232653617859
20000,train,37,70,0.6816054212582777,0.6342341303825378
20000,train,39,58,0.6462683248667443,0.6830132603645325
